participant_private_id,submission_id,Race,gender,age,dominant_dialect_1,dominant_dialect_2,native_dialect,second_dialect,other_dialects,aae_exposure,aae_speaking,x_reading,x_speaking,cultures,culture_1,culture_2,culture_3,culture_4,formal_education,education_1,education_2,education_3,education_4,education_5,education_6
10175939,,,,33,General American English,,General American English,,,1,1,"African-Ameican English, 100%",African-American English,Black American,10,0,0,0,,,High School,,,,
10175967,,,,32,"General American English, Ebonics, British English",,Ebonics,General American English,British English,0.6,0.15,"General American English, 90%; Ebonics, 5%; British English, 5%;","General American English, 80%; Ebonics, 15%; British English, 5%;",US-Southern,10,0,0,0,18,,,,,College,
10176003,,,,36,"American English, ebonics, spanglish, ",,American English,none,none,0.01,0,100 American english,100% American English,Black/African American,10,0,0,0,16,,,,,College,
10175895,,,,39,General American English,,English language,,,0,0,English 100%,100,African American,10,0,0,0,18,,,,,,
10176000,,,,21,"Ebonics, African American Vernacular English, General American English",,African American Vernacular English,General American English,Ebonics,0.6,0.7,"African-American English, 30%, General American English, 70%","African-American Vernacular English, 70%, General American English, 30%",Black/African-American,5,5,5,5,16,,,,Some College,,
10175994,,,,25,American English,,American English ,,,0.1,0.15,General American English: 100%,"General American English: 85, African-American English: 15","Black American, Native American ",4,5,0,0,12,,High School,,,,
10175885,,,,29,"General American English, African American-English",,General American English,African-American English,,0.2,0,"General American English, 100%","General American English, 100%","US-Southern, African American",5,8,0,0,12,,High School,,,,
10175931,,,,36,wanna finna aint bout to ,,english,none,none,0.7,0.8,arican americans 80 whites 20,african american 80 white 20,us southern african american,10,10,0,0,13,,,,Some College,,
10176005,,,,28,"New Jersey, New York, Virginia, North Carolina, General American English",,General American English/ New Jersey,"New York, Virginia, North Carolina, General American English",N/A,0,0,General American English 100%,General American English 100%,African American/Black,5,0,0,0,14,,,,,College,
10176038,,,,36,"California valley girl, California AAVE, california spanglish, filipino, Mexican spanish",,"California valley girl, ",AAVE,NA,0,0,California valley girl 100%,California valley girl 100%,Black/African American,10,10,10,10,8,,,,Some College,,
10176048,,,,31,African American Vernacular English Ebonics General American English British English,,African American Vernacular English ,General American English,Ebonics ,0.7,0.5,50%,50%, US-Southern and Black/African American,6,10,0,0,12,,High School,,,,
10176024,,,,28,"Ebonics, General American English ",,General American English ,Ebonics ,,0.5,0.5,"General American English, 100%","Ebonics, 50%. General American English, 50%","US-Southern, Black",9,10,0,0,14,,,,,College,
10175978,,,,26,"English, ebonics, aave",,English,AAVE,Ebonics,0.15,0.2,English 100%,"English 80%, Ebonics 10%, AAVE 10%","Black/African American, US-Southern",8,5,0,0,16,,,,,College,
10176053,,,,33,"AAVE, General American English",,General American English,AAVE,,0.75,0.5,General American English 100%,"AAVE 50%, General American English 50%","US-Southern, Black/African American",4,10,0,0,16,,,,Some College,,
10175974,,,,26,,,,,,,,,,,7,6,7,7,19,,,,,,
10176044,,,,32,"African American Vernacular English, General American English, Ebonics, British English",,African American Vernacular English,General American English,"Ebonics, British English",0.35,0.65,"AAVE 0%, American English 95%, Ebonics 0%, British English 5%","AAVE 65%, American English 35%, Ebonics 0%, British English 0%",black/african american,3,0,0,0,14,,,,,College,
10176033,,,,28,"General American English, African American English and Souther American English",,General American English,African American English,Southern American English,0.1,0,"General American English, 100%","General American English, 100%",African American,6,0,0,0,14,,,,Some College,,
10175957,,,,32,American English,,American English,,,0,0,100,100,Black/African American,10,7,8,9,19,,,,,,
10176007,,,,30,"General American English, Ebonics",,General American English,Ebonics,,0.4,0.8,General American English 60 % Ebonics - 40 %,General American English 20 % Ebonics - 80 %,Black,10,0,0,0,16,,,,,College,
10176060,,,,38,General American English,,General American English,NA,NA,0,0,100% General American English,100% General American English,Black/African American,10,0,0,0,16,,,,,College,
10176076,,,,28,AAVE,,English,AAVE,N/A,1,1,"50,50",100,Black/ AfricanAmerican,10,5,0,0,16,,,,,College,
10176077,,,,37,"Ebonics, english",,english,,,0,0.25,english,english 75% ebonics 25%,Black/ African american,10,9,0,0,15,,,,,College,
10176115,,,,24, African American venacular english and American English,,African American Vernacular English,American English ,,0.7,0.9,"African American english,100%","African AMerican english,90% American english.10%",Black ,10,0,0,0,14,,,,Some College,,
10176119,,,,21,"African American Vernacular English, General American English",,African American Vernacular English,General American English,,0.85,1,"General American English, 100%","African American Vernacular English, 100%; General American English, 89%",Black/African American,9,0,0,0,12,,High School,,,,
10176112,,,,35,"English, African American Vernacular English, Ebonics",,English,African American Vernacular English,,0.6,0.3,"English, 100%","English, 70%, African American Vernacular English, 30%","US-Southern, Black, African American",7,6,6,0,15,,,,,,Some Graduate School
10176105,,,,27,"General American English, AAVE, Ebonics",,General American English,AAVE,Ebonics,0.5,0.66,"General American English 60%, AAVE 20%, Ebonics 20%","General American English 33%, AAVE 33%, Ebonics 33%",Black/African American,10,10,10,0,17,,,,,College,
10176103,,,,34,General American English,,english,,,0,0,english,100,Black/African american,2,10,0,0,15,,,,Some College,,
10176078,,,,25,"General American English,African-American Enlish, Northern American English",,English,None,None,1,1,"African-American English, 100%","African-American English, 100%",Black-American,10,0,0,0,13,,High School,,,,
10176088,,,,27,english,,english,no,no,0,0,english 100%,english 100%,black,10,0,0,0,12,,High School,,,,
10175970,,,,21,General American English,,General American English,,,0,0,"General American English, 100%","General American English, 100%",African-American,10,0,0,0,16,,,,,College,
10176156,,,,21,"General English, Ebonics, Genral French",,Ebonics,English,,0.5,0.7,"African-American English, 70% ; General English, 30%","African-American English, 70% ; General English, 30%",Black/African American,10,0,0,0,16,,,,Some College,,
10176130,,,,25,"General American English, Ebonics",,General American English,Ebonics,,0.3,0,"General American English, 100%","General American English, 100%",,0,0,0,0,10,Less than High School,,,,,
10176055,,,,37,"General American English, African-American English",,English,na,na,0.3,0.05,General American English 100%,General American English 95%; African-American English 5%,African American,6,8,0,0,16,,,,,College,
10175940,,,,34,,,,,,,,,,Black/African American,7,8,8,7,,,,,,,
10176101,,,,22,African-American English and General American English,,African-American English,General American English,,0.7,0.6,"General American English, 80%;African-American English, 20%","African-American English, 60%; General American English, 40%",African-American,9,0,0,0,14,,,,,College,
10176214,,,,28,English,,English,n/a,n/a,1,0,"english,100","english,100",Black,3,10,0,0,,,,Professional Training,,,
10176194,,,,34,"AAVE, American English",,American English,AAVE,,0.3,0.5,"AAVE, 20%, America English 80%.","AAVE, 50% American Englise, 50%.","US-Southern, Black, US-Northern",8,11,6,0,14,,,,Some College,,
10176150,,,,34,"English, Ebonics",,English,Ebonics,,0.4,0.5,English 100,African American English 50%. English 50%,"Black/African American, US-Souther, American",10,9,9,0,12,,High School,,,,
10176234,,,,40,"Basic English, Ebonics",,Basic American English,Ebonics,,0.05,0,Basic American English. 100%,"Basic American Enlgish, 100%",African American,7,0,0,0,16,,,,,College,
10176096,,,,38,african american vernacular,,english,french,spanish,0.3,0,english 60%,french 10%,black american,8,7,6,7,23,,,,,,
10176237,,,,35,English,,english,english,english,0,0,70,100,black,9,0,0,0,12,,High School,,,,
10176262,,,,29,"american english, ebonics",,english,ebonics,,0.1,0.5,"GAE, 100","AAVE 50, GAE 50","Black, Nigerian",5,5,0,0,,,,,,,
10175941,,,,40,,,,,,,,,,African-American,7,8,8,7,28,,,,,,
10176267,,,,27,"anerican english,southern english,northern english, british english,scottish english,ebonics",,american english,ebonics,paatwa,0.9,0.25,american english 100%,"american english 75%, ebonics 25%","american,carribbean,multiracial,black american",2,2,2,2,13,,,,Some College,,
10176137,,,,30,"General American English,  African American Vernacular English,Southern",,General American English,African American Vernacular English,,0.2,0.1,General American English 90%  African American Vernacular English 10%,General American English 90%  African American Vernacular English 10%,Black/ African American ,10,10,6,0,13,,,,Some College,,
10176313,,,,38,English,,English,,English,1,,African- American English 100%,,,6,5,7,5,19,,,,,,
10176660,,,,32,"American English, Black American Vernacular (Midwest/Southern)",,American English,Black American Vernacular (Midwest/Southern),n/a,0.1,0,American English 100%,American English 100%,Black/African American,8,8,0,0,16,,,,,College,
10176696,,,,31,"African American Vernacular English, General American English",,AAVE,General American English,Internet speak,0.5,0.5,0% for either,AAVE 50 % General American English 50%,Black,10,0,0,0,16,,,,Some College,,
